Name,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Team
JAMES NEESHAM,2018,2,32,19,2,16,168.4,22,0,0,3,2,31.6,Mumbai Indians
JAMES NEESHAM,2019,18,361,247,12,30.1,146.2,47,0,0,28,18,30,Mumbai Indians
JAMES NEESHAM,2020,7,106,91,5,21.2,116.5,40,0,0,7,3,35.2,Mumbai Indians
JAMES NEESHAM,2021,4,78,60,3,26,130,49,0,0,5,3,26.7,Mumbai Indians
PIYUSH CHAWLA,2008,7,90,59,4,22.5,152.5,24,0,0,10,3,39,Mumbai Indians
PIYUSH CHAWLA,2009,10,40,44,6,6.7,90.9,9,0,0,4,0,50,Mumbai Indians
PIYUSH CHAWLA,2010,6,62,60,5,12.4,103.3,22,0,0,7,0,40,Mumbai Indians
PIYUSH CHAWLA,2011,6,48,55,3,16,87.3,15,0,0,2,2,47.3,Mumbai Indians
PIYUSH CHAWLA,2012,12,106,88,8,13.2,120.5,21,0,0,9,4,37.5,Mumbai Indians
PIYUSH CHAWLA,2013,10,64,57,6,10.7,112.3,23,0,0,5,3,45.6,Mumbai Indians
PIYUSH CHAWLA,2014,7,40,22,3,13.3,181.8,17,0,0,6,1,27.3,Mumbai Indians
PIYUSH CHAWLA,2015,7,54,47,4,13.5,114.9,22,0,0,5,2,42.6,Mumbai Indians
PIYUSH CHAWLA,2016,3,27,26,3,9,103.8,11,0,0,4,0,50,Mumbai Indians
PIYUSH CHAWLA,2017,1,2,6,1,2,33.3,2,0,0,0,0,66.7,Mumbai Indians
PIYUSH CHAWLA,2018,5,27,34,4,6.8,79.4,12,0,0,1,1,47.1,Mumbai Indians
PIYUSH CHAWLA,2019,5,42,37,3,14,113.5,14,0,0,4,2,51.4,Mumbai Indians
ISHAN KISHAN,2016,5,42,41,5,8.4,102.4,27,0,0,5,0,41.5,Mumbai Indians
ISHAN KISHAN,2017,10,277,206,10,27.7,134.5,61,1,0,29,13,42.7,Mumbai Indians
ISHAN KISHAN,2018,12,275,184,12,22.9,149.5,62,2,0,22,17,40.2,Mumbai Indians
ISHAN KISHAN,2019,6,101,100,6,16.8,101,28,0,0,8,4,46,Mumbai Indians
ISHAN KISHAN,2020,13,516,354,9,57.3,145.8,99,4,0,36,30,31.6,Mumbai Indians
ISHAN KISHAN,2021,4,118,88,4,29.5,134.1,60,1,0,15,4,45.5,Mumbai Indians
ADITYA TARE,2010,4,50,36,4,12.5,138.9,23,0,0,5,3,55.6,Mumbai Indians
ADITYA TARE,2013,5,123,84,5,24.6,146.4,59,1,0,14,5,40.5,Mumbai Indians
ADITYA TARE,2014,13,170,144,10,17,118.1,37,0,0,19,5,45.8,Mumbai Indians
ADITYA TARE,2015,2,14,17,2,7,82.4,7,0,0,1,0,41.2,Mumbai Indians
ADITYA TARE,2016,2,8,15,2,4,53.3,8,0,0,1,0,73.3,Mumbai Indians
ADITYA TARE,2017,3,18,23,3,6,78.3,18,0,0,3,0,65.2,Mumbai Indians
ADITYA TARE,2021,3,48,42,3,16,114.3,42,0,0,4,1,42.9,Mumbai Indians
QUINTON DE KOCK,2012,6,104,110,5,20.8,94.5,51,1,0,10,4,55.5,Mumbai Indians
QUINTON DE KOCK,2013,6,152,110,5,30.4,138.2,109,0,1,17,6,45.5,Mumbai Indians
QUINTON DE KOCK,2014,7,153,130,7,21.9,117.7,48,0,0,19,4,46.9,Mumbai Indians
QUINTON DE KOCK,2015,3,122,77,3,40.7,158.4,69,2,0,18,4,39,Mumbai Indians
QUINTON DE KOCK,2016,13,445,327,12,37.1,136.1,108,3,1,52,13,37.9,Mumbai Indians
QUINTON DE KOCK,2018,16,613,405,16,38.3,151.4,108,4,1,65,26,36.3,Mumbai Indians
QUINTON DE KOCK,2019,25,764,541,24,31.8,141.2,81,4,0,76,36,39.9,Mumbai Indians
QUINTON DE KOCK,2020,16,503,358,14,35.9,140.5,78,4,0,46,22,37.7,Mumbai Indians
CHRIS GAYLE,2009,7,171,143,6,28.5,119.6,44,0,0,15,10,51,Punjab Kings
CHRIS GAYLE,2010,9,292,184,9,32.4,158.7,88,2,0,30,16,37.5,Punjab Kings
CHRIS GAYLE,2011,21,1044,588,17,61.4,177.6,107,6,3,79,84,37.8,Punjab Kings
CHRIS GAYLE,2012,28,1164,756,24,48.5,154,128,8,3,70,96,41,Punjab Kings
CHRIS GAYLE,2013,28,1123,777,23,48.8,144.5,175,6,2,88,78,44.1,Punjab Kings
CHRIS GAYLE,2014,20,559,481,18,31.1,116.2,111,2,1,42,36,50.7,Punjab Kings
CHRIS GAYLE,2015,34,1498,940,26,57.6,159.4,151,8,3,109,120,42.1,Punjab Kings
CHRIS GAYLE,2016,42,1158,732,39,29.7,158.2,108,7,1,83,100,46.9,Punjab Kings
CHRIS GAYLE,2017,40,1222,873,33,37,140,146,7,2,78,96,45.4,Punjab Kings
CHRIS GAYLE,2018,32,838,661,30,27.9,126.8,104,6,1,78,54,51.3,Punjab Kings
CHRIS GAYLE,2019,45,1220,861,42,29,141.7,122,6,2,107,86,47.9,Punjab Kings
CHRIS GAYLE,2020,11,432,314,11,39.3,137.6,99,4,0,24,35,43.9,Punjab Kings
CHRIS GAYLE,2021,2,107,64,2,53.5,167.2,68,1,0,9,7,35.9,Punjab Kings
MAYANK AGARWAL,2011,13,200,162,13,15.4,123.5,41,0,0,18,10,46.3,Punjab Kings
MAYANK AGARWAL,2012,12,225,158,11,20.5,142.4,64,1,0,19,15,44.3,Punjab Kings
MAYANK AGARWAL,2013,5,67,62,5,13.4,108.1,29,0,0,6,3,50,Punjab Kings
MAYANK AGARWAL,2014,8,115,91,8,14.4,126.4,31,0,0,12,3,40.7,Punjab Kings
MAYANK AGARWAL,2015,10,213,177,9,23.7,120.3,68,2,0,23,7,41.2,Punjab Kings
MAYANK AGARWAL,2016,3,27,25,3,9,108,10,0,0,3,1,48,Punjab Kings
MAYANK AGARWAL,2017,3,26,27,3,8.7,96.3,20,0,0,3,0,48.1,Punjab Kings
MAYANK AGARWAL,2018,11,120,94,10,12,127.7,30,0,0,9,5,31.9,Punjab Kings
MAYANK AGARWAL,2019,13,332,234,13,25.5,141.9,58,2,0,26,14,31.2,Punjab Kings
MAYANK AGARWAL,2020,11,423,271,11,38.5,156.1,105,2,1,44,15,29.2,Punjab Kings
SARFARAZ KHAN,2015,7,111,71,4,27.8,156.3,45,0,0,12,2,21.1,Punjab Kings
SARFARAZ KHAN,2016,4,66,31,2,33,212.9,35,0,0,7,4,29,Punjab Kings
SARFARAZ KHAN,2018,6,51,41,5,10.2,124.4,22,0,0,7,1,43.9,Punjab Kings
SARFARAZ KHAN,2019,5,180,143,4,45,125.9,67,1,0,19,4,32.2,Punjab Kings
SARFARAZ KHAN,2020,3,33,29,2,16.5,113.8,14,0,0,5,0,41.4,Punjab Kings
SARFARAZ KHAN,2021,4,85,58,4,21.2,146.6,53,1,0,7,4,31,Punjab Kings
MANDEEP SINGH,2010,2,4,11,2,2,36.4,4,0,0,1,0,90.9,Punjab Kings
MANDEEP SINGH,2011,5,47,41,4,11.8,114.6,15,0,0,4,1,34.1,Punjab Kings
MANDEEP SINGH,2012,16,432,342,16,27,126.3,75,2,0,53,7,39.8,Punjab Kings
MANDEEP SINGH,2013,14,260,223,13,20,116.6,77,1,0,36,0,40.4,Punjab Kings
MANDEEP SINGH,2014,3,24,26,3,8,92.3,21,0,0,2,0,50,Punjab Kings
MANDEEP SINGH,2015,8,157,100,7,22.4,157,54,1,0,17,6,33,Punjab Kings
MANDEEP SINGH,2017,10,188,177,10,18.8,106.2,52,1,0,21,4,45.8,Punjab Kings
MANDEEP SINGH,2018,13,252,186,10,25.2,135.5,47,0,0,16,11,30.1,Punjab Kings
MANDEEP SINGH,2019,12,165,120,4,41.2,137.5,33,0,0,10,4,16.7,Punjab Kings
MANDEEP SINGH,2020,7,130,109,6,21.7,119.3,66,1,0,10,4,38.5,Punjab Kings
MANDEEP SINGH,2021,2,77,57,0,NA,135.1,42,0,0,7,4,40.4,Punjab Kings
DAWID MALAN,2013,10,351,295,9,39,119,86,3,0,42,6,42.7,Punjab Kings
DAWID MALAN,2014,13,393,316,10,39.3,124.4,86,2,0,44,5,34.8,Punjab Kings
DAWID MALAN,2015,9,299,214,8,37.4,139.7,115,1,1,38,5,35,Punjab Kings
DAWID MALAN,2016,29,771,598,24,32.1,128.9,93,7,0,70,31,38,Punjab Kings
DAWID MALAN,2017,12,307,226,12,25.6,135.8,56,1,0,37,10,39.8,Punjab Kings
DAWID MALAN,2018,13,128,123,13,9.8,104.1,36,0,0,15,5,54.5,Punjab Kings
DAWID MALAN,2019,30,1037,748,26,39.9,138.6,117,4,2,102,36,31.7,Punjab Kings
DAWID MALAN,2020,13,288,241,12,24,119.5,64,2,0,28,8,37.3,Punjab Kings
DAWID MALAN,2021,8,211,185,8,26.4,114.1,75,1,0,17,5,33,Punjab Kings
KL RAHUL,2013,2,20,16,2,10,125,12,0,0,4,0,56.2,Punjab Kings
KL RAHUL,2014,8,166,164,8,20.8,101.2,46,0,0,12,3,36.6,Punjab Kings
KL RAHUL,2015,8,142,126,5,28.4,112.7,44,0,0,8,5,37.3,Punjab Kings
KL RAHUL,2016,12,397,271,9,44.1,146.5,68,4,0,37,16,31.7,Punjab Kings
KL RAHUL,2018,14,659,416,12,54.9,158.4,95,6,0,66,32,34.1,Punjab Kings
KL RAHUL,2019,14,593,438,11,53.9,135.4,100,6,1,49,25,34.9,Punjab Kings
KL RAHUL,2020,14,670,518,12,55.8,129.3,132,5,1,58,23,34,Punjab Kings
NICHOLAS POORAN,2013,11,142,114,9,15.8,124.6,54,1,0,5,11,43,Punjab Kings
NICHOLAS POORAN,2014,8,107,71,6,17.8,150.7,37,0,0,4,9,39.4,Punjab Kings
NICHOLAS POORAN,2016,20,388,255,18,21.6,152.2,81,2,0,26,27,34.9,Punjab Kings
NICHOLAS POORAN,2017,17,262,205,17,15.4,127.8,57,1,0,22,15,44.9,Punjab Kings
NICHOLAS POORAN,2018,17,443,311,14,31.6,142.4,58,1,0,28,29,38.9,Punjab Kings
NICHOLAS POORAN,2019,29,861,537,21,41,160.3,76,6,0,59,66,38.5,Punjab Kings
NICHOLAS POORAN,2020,27,669,440,21,31.9,152,100,4,1,43,46,38.6,Punjab Kings
NICHOLAS POORAN,2021,3,56,41,3,18.7,136.6,26,0,0,4,4,41.5,Punjab Kings
DEEPAK HOODA,2015,9,151,95,9,16.8,158.9,54,1,0,6,11,32.6,Punjab Kings
DEEPAK HOODA,2016,15,144,121,14,10.3,119,34,0,0,9,5,33.1,Punjab Kings
DEEPAK HOODA,2017,6,78,52,3,26,150,19,0,0,5,4,23.1,Punjab Kings
DEEPAK HOODA,2018,8,87,81,4,21.8,107.4,32,0,0,2,3,29.6,Punjab Kings
DEEPAK HOODA,2019,7,64,63,6,10.7,101.6,20,0,0,5,1,39.7,Punjab Kings
DEEPAK HOODA,2020,5,101,71,1,101,142.3,62,1,0,5,5,26.8,Punjab Kings
MOISES HENRIQUES,2009,9,157,128,7,22.4,122.7,51,1,0,8,7,36.7,Punjab Kings
MOISES HENRIQUES,2010,1,11,5,1,11,220,11,0,0,2,0,20,Punjab Kings
MOISES HENRIQUES,2011,7,73,63,4,18.2,115.9,22,0,0,6,1,34.9,Punjab Kings
MOISES HENRIQUES,2012,16,357,274,14,25.5,130.3,70,1,0,28,13,36.5,Punjab Kings
MOISES HENRIQUES,2013,13,222,177,7,31.7,125.4,44,0,0,24,4,36.2,Punjab Kings
MOISES HENRIQUES,2014,12,273,238,10,27.3,114.7,55,1,0,25,6,37,Punjab Kings
MOISES HENRIQUES,2015,19,626,471,15,41.7,132.9,77,5,0,40,24,30.6,Punjab Kings
MOISES HENRIQUES,2016,19,287,228,15,19.1,125.9,76,1,0,24,10,36,Punjab Kings
MOISES HENRIQUES,2017,26,636,503,20,31.8,126.4,64,4,0,55,13,29.6,Punjab Kings
MOISES HENRIQUES,2018,13,306,274,11,27.8,111.7,50,2,0,21,10,38.3,Punjab Kings
MOISES HENRIQUES,2019,17,379,276,14,27.1,137.3,61,2,0,28,14,27.5,Punjab Kings
MOISES HENRIQUES,2020,9,153,101,7,21.9,151.5,72,1,0,7,10,31.7,Punjab Kings
MOISES HENRIQUES,2021,4,155,100,4,38.8,155,56,1,0,13,5,27,Punjab Kings
FABIAN ALLEN,2018,8,288,156,5,57.6,184.6,75,2,0,17,25,34.6,Punjab Kings
FABIAN ALLEN,2019,11,218,123,8,27.2,177.2,62,1,0,19,13,30.9,Punjab Kings
JHYE RICHARDSON,2016,2,11,17,1,11,64.7,6,0,0,1,0,64.7,Punjab Kings
JHYE RICHARDSON,2017,1,2,4,1,2,50,2,0,0,0,0,50,Punjab Kings
JHYE RICHARDSON,2018,4,44,33,1,44,133.3,16,0,0,3,2,42.4,Punjab Kings
JHYE RICHARDSON,2019,2,16,19,2,8,84.2,14,0,0,0,1,47.4,Punjab Kings
JHYE RICHARDSON,2020,8,80,51,4,20,156.9,33,0,0,4,5,29.4,Punjab Kings
JHYE RICHARDSON,2021,7,75,45,2,37.5,166.7,29,0,0,7,3,28.9,Punjab Kings
KANE WILLIAMSON,2014,12,337,243,11,30.6,138.7,101,2,1,37,9,36.2,Sunrisers Hyderabad
KANE WILLIAMSON,2015,2,31,27,1,31,114.8,26,0,0,1,1,22.2,Sunrisers Hyderabad
KANE WILLIAMSON,2016,12,333,294,12,27.8,113.3,65,2,0,33,4,32.7,Sunrisers Hyderabad
KANE WILLIAMSON,2017,17,428,362,16,26.8,118.2,89,2,0,33,13,37.6,Sunrisers Hyderabad
KANE WILLIAMSON,2018,27,1015,705,21,48.3,144,84,10,0,89,38,29.2,Sunrisers Hyderabad
KANE WILLIAMSON,2019,9,156,130,7,22.3,120,70,1,0,12,5,34.6,Sunrisers Hyderabad
KANE WILLIAMSON,2020,11,317,237,7,45.3,133.8,67,3,0,26,10,28.3,Sunrisers Hyderabad
KANE WILLIAMSON,2021,2,112,81,0,NA,138.3,79,1,0,10,3,29.6,Sunrisers Hyderabad
MANISH PANDEY,2008,2,3,9,2,1.5,33.3,3,0,0,0,0,66.7,Sunrisers Hyderabad
MANISH PANDEY,2009,7,220,164,3,73.3,134.1,114,0,1,24,4,34.8,Sunrisers Hyderabad
MANISH PANDEY,2010,16,349,311,15,23.3,112.2,52,1,0,38,10,47.6,Sunrisers Hyderabad
MANISH PANDEY,2011,9,246,227,9,27.3,108.4,59,1,0,28,6,45.4,Sunrisers Hyderabad
MANISH PANDEY,2012,9,143,112,7,20.4,127.7,80,1,0,12,6,40.2,Sunrisers Hyderabad
MANISH PANDEY,2013,7,136,137,6,22.7,99.3,66,1,0,11,3,41.6,Sunrisers Hyderabad
MANISH PANDEY,2014,21,573,462,17,33.7,124,94,3,0,51,18,36.4,Sunrisers Hyderabad
MANISH PANDEY,2015,12,225,184,11,20.5,122.3,40,0,0,22,7,37.5,Sunrisers Hyderabad
MANISH PANDEY,2016,11,248,183,8,31,135.5,52,2,0,17,9,25.7,Sunrisers Hyderabad
MANISH PANDEY,2017,12,396,308,8,49.5,128.6,81,2,0,28,12,26.9,Sunrisers Hyderabad
MANISH PANDEY,2018,13,284,246,11,25.8,115.4,62,3,0,22,5,33.3,Sunrisers Hyderabad
MANISH PANDEY,2019,11,344,263,8,43,130.8,83,3,0,34,6,28.1,Sunrisers Hyderabad
MANISH PANDEY,2020,15,425,333,13,32.7,127.6,83,3,0,35,18,37.2,Sunrisers Hyderabad
DAVID WARNER,2009,13,370,279,13,28.5,132.6,63,2,0,44,12,42.7,Sunrisers Hyderabad
DAVID WARNER,2010,11,282,191,10,28.2,147.6,107,1,1,27,14,37.2,Sunrisers Hyderabad
DAVID WARNER,2011,19,754,517,16,47.1,145.8,135,3,3,67,37,38.5,Sunrisers Hyderabad
DAVID WARNER,2012,10,277,176,9,30.8,157.4,109,1,1,32,14,46,Sunrisers Hyderabad
DAVID WARNER,2013,17,460,354,14,32.9,129.9,77,5,0,47,15,38.1,Sunrisers Hyderabad
DAVID WARNER,2014,14,528,375,11,48,140.8,90,6,0,39,24,31.7,Sunrisers Hyderabad
DAVID WARNER,2015,14,562,359,13,43.2,156.5,91,7,0,65,21,36.2,Sunrisers Hyderabad
DAVID WARNER,2016,17,848,560,14,60.6,151.4,93,9,0,88,31,32.9,Sunrisers Hyderabad
DAVID WARNER,2017,14,641,452,11,58.3,141.8,126,4,1,63,26,36.3,Sunrisers Hyderabad
DAVID WARNER,2018,17,329,292,15,21.9,112.7,72,2,0,31,9,42.1,Sunrisers Hyderabad
DAVID WARNER,2019,19,910,648,15,60.7,140.4,100,11,1,75,26,30.1,Sunrisers Hyderabad
DAVID WARNER,2020,16,548,407,14,39.1,134.6,85,4,0,52,14,33.4,Sunrisers Hyderabad
ABDUL SAMAD,2020,7,111,65,5,22.2,170.8,33,0,0,8,6,27.7,Sunrisers Hyderabad
PRIYAM GARG,2020,10,133,111,9,14.8,119.8,51,1,0,9,4,36,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2008,10,159,119,5,31.8,133.6,59,1,0,12,7,38.7,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2009,7,72,41,3,24,175.6,25,0,0,3,4,14.6,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2010,6,67,53,3,22.3,126.4,22,0,0,9,1,39.6,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2011,4,82,82,4,20.5,100,46,0,0,2,4,39,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2012,3,12,22,2,6,54.5,6,0,0,0,0,54.5,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2013,3,70,56,3,23.3,125,39,0,0,6,4,46.4,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2014,18,437,316,14,31.2,138.3,115,2,1,39,19,38.6,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2015,13,249,197,13,19.2,126.4,42,0,0,16,10,35.5,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2016,12,270,212,11,24.5,127.4,56,2,0,29,1,29.2,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2017,11,234,187,10,23.4,125.1,93,1,0,20,8,34.2,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2018,10,122,102,8,15.2,119.6,35,0,0,17,1,41.2,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2019,5,86,53,5,17.2,162.3,28,0,0,13,1,28.3,Sunrisers Hyderabad
WRIDDHIMAN SAHA,2020,4,214,153,3,71.3,139.9,87,2,0,24,5,32.7,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2008,3,82,85,3,27.3,96.5,52,1,0,9,1,48.2,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2009,2,53,60,2,26.5,88.3,43,0,0,6,0,50,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2010,1,8,10,1,8,80,8,0,0,2,0,80,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2011,6,51,54,5,10.2,94.4,22,0,0,5,0,42.6,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2012,6,69,67,5,13.8,103,24,0,0,4,1,29.9,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2018,3,52,40,3,17.3,130,35,0,0,6,1,32.5,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2020,2,0,4,2,0,0,0,0,0,0,0,100,Sunrisers Hyderabad
SHREEVATS GOSWAMI,2021,4,133,103,3,44.3,129.1,69,1,0,19,1,35,Sunrisers Hyderabad
JONNY BAIRSTOW,2013,1,12,15,1,12,80,12,0,0,1,0,53.3,Sunrisers Hyderabad
JONNY BAIRSTOW,2014,11,355,248,7,50.7,143.1,102,2,1,24,12,24.2,Sunrisers Hyderabad
JONNY BAIRSTOW,2015,11,320,238,10,32,134.5,92,1,0,23,15,34.9,Sunrisers Hyderabad
JONNY BAIRSTOW,2016,4,39,42,3,13,92.9,18,0,0,2,1,42.9,Sunrisers Hyderabad
JONNY BAIRSTOW,2019,10,445,283,8,55.6,157.2,114,2,1,48,18,33.2,Sunrisers Hyderabad
JONNY BAIRSTOW,2020,11,345,272,11,31.4,126.8,97,3,0,31,13,42.6,Sunrisers Hyderabad
VIJAY SHANKAR,2017,4,101,75,2,50.5,134.7,63,1,0,12,1,26.7,Sunrisers Hyderabad
VIJAY SHANKAR,2018,9,212,148,4,53,143.2,54,1,0,11,11,25.7,Sunrisers Hyderabad
VIJAY SHANKAR,2019,14,244,193,12,20.3,126.4,40,0,0,11,12,32.1,Sunrisers Hyderabad
VIJAY SHANKAR,2020,5,97,96,4,24.2,101,52,1,0,10,1,40.6,Sunrisers Hyderabad
VIJAY SHANKAR,2021,1,6,3,0,NA,200,6,0,0,1,0,0,Sunrisers Hyderabad
MITCHELL MARSH,2010,2,28,30,2,14,93.3,15,0,0,1,1,36.7,Sunrisers Hyderabad
MITCHELL MARSH,2011,6,136,124,5,27.2,109.7,37,0,0,6,7,41.9,Sunrisers Hyderabad
MITCHELL MARSH,2012,9,300,246,4,75,122,77,3,0,16,15,38.2,Sunrisers Hyderabad
MITCHELL MARSH,2013,11,226,179,9,25.1,126.3,57,1,0,13,11,35.2,Sunrisers Hyderabad
MITCHELL MARSH,2014,11,255,200,8,31.9,127.5,63,1,0,21,11,39,Sunrisers Hyderabad
MITCHELL MARSH,2015,1,1,2,1,1,50,1,0,0,0,0,50,Sunrisers Hyderabad
MITCHELL MARSH,2016,4,103,81,3,34.3,127.2,34,0,0,8,2,29.6,Sunrisers Hyderabad
MITCHELL MARSH,2017,2,114,68,1,114,167.6,70,1,0,5,6,16.2,Sunrisers Hyderabad
MITCHELL MARSH,2018,2,6,10,2,3,60,3,0,0,0,0,40,Sunrisers Hyderabad
MITCHELL MARSH,2019,10,238,197,7,34,120.8,56,2,0,17,9,37.1,Sunrisers Hyderabad
MITCHELL MARSH,2020,16,371,272,12,30.9,136.4,93,2,0,21,17,29.8,Sunrisers Hyderabad
MITCHELL MARSH,2021,9,206,122,5,41.2,168.9,56,2,0,20,9,31.1,Sunrisers Hyderabad
KEDAR JADHAV,2010,5,76,56,3,25.3,135.7,50,1,0,7,2,30.4,Sunrisers Hyderabad
KEDAR JADHAV,2011,4,18,23,3,6,78.3,12,0,0,1,0,39.1,Sunrisers Hyderabad
KEDAR JADHAV,2013,10,152,124,7,21.7,122.6,31,0,0,8,5,28.2,Sunrisers Hyderabad
KEDAR JADHAV,2014,10,149,101,5,29.8,147.5,37,0,0,13,7,28.7,Sunrisers Hyderabad
KEDAR JADHAV,2015,12,189,140,8,23.6,135,63,1,0,16,7,32.1,Sunrisers Hyderabad
KEDAR JADHAV,2016,3,42,32,0,NA,131.2,25,0,0,2,2,31.2,Sunrisers Hyderabad
KEDAR JADHAV,2017,13,267,186,12,22.2,143.5,69,1,0,25,10,30.1,Sunrisers Hyderabad
KEDAR JADHAV,2018,1,24,22,0,NA,109.1,24,0,0,1,2,50,Sunrisers Hyderabad
KEDAR JADHAV,2019,12,162,169,9,18,95.9,58,1,0,19,3,49.7,Sunrisers Hyderabad
KEDAR JADHAV,2020,5,62,66,3,20.7,93.9,26,0,0,7,0,42.4,Sunrisers Hyderabad
MOHAMMAD NABI,2013,10,145,142,9,16.1,102.1,43,0,0,16,2,46.5,Sunrisers Hyderabad
MOHAMMAD NABI,2015,4,37,29,4,9.2,127.6,12,0,0,3,2,48.3,Sunrisers Hyderabad
MOHAMMAD NABI,2016,14,277,169,10,27.7,163.9,87,1,0,21,14,25.4,Sunrisers Hyderabad
MOHAMMAD NABI,2017,11,118,82,7,16.9,143.9,29,0,0,8,7,36.6,Sunrisers Hyderabad
MOHAMMAD NABI,2018,18,404,277,15,26.9,145.8,86,2,0,32,19,34.3,Sunrisers Hyderabad
MOHAMMAD NABI,2019,33,502,390,28,17.9,128.7,43,0,0,32,26,38.2,Sunrisers Hyderabad
MOHAMMAD NABI,2020,23,400,299,17,23.5,133.8,63,1,0,24,21,34.4,Sunrisers Hyderabad
MOHAMMAD NABI,2021,9,290,187,6,48.3,155.1,71,3,0,26,16,38,Sunrisers Hyderabad
ABHISHEK SHARMA,2018,3,63,33,1,63,190.9,46,0,0,3,5,21.2,Sunrisers Hyderabad
ABHISHEK SHARMA,2019,3,9,9,2,4.5,100,5,0,0,1,0,33.3,Sunrisers Hyderabad
ABHISHEK SHARMA,2020,7,71,56,5,14.2,126.8,31,0,0,6,3,37.5,Sunrisers Hyderabad
ABHISHEK SHARMA,2021,2,9,13,2,4.5,69.2,5,0,0,2,0,76.9,Sunrisers Hyderabad
JASON HOLDER,2013,4,27,11,3,9,245.5,16,0,0,2,3,45.5,Sunrisers Hyderabad
JASON HOLDER,2014,12,152,109,10,15.2,139.4,48,0,0,12,9,38.5,Sunrisers Hyderabad
JASON HOLDER,2015,10,144,113,6,24,127.4,31,0,0,11,7,39.8,Sunrisers Hyderabad
JASON HOLDER,2016,4,22,19,4,5.5,115.8,13,0,0,2,1,52.6,Sunrisers Hyderabad
JASON HOLDER,2018,10,166,122,8,20.8,136.1,54,1,0,12,8,34.4,Sunrisers Hyderabad
JASON HOLDER,2019,10,50,55,9,5.6,90.9,29,0,0,0,4,49.1,Sunrisers Hyderabad
JASON HOLDER,2020,17,320,224,12,26.7,142.9,69,1,0,27,19,41.1,Sunrisers Hyderabad
SHUBMAN GILL,2018,10,203,139,6,33.8,146,57,1,0,22,5,26.6,Kolkata Knight Ride
SHUBMAN GILL,2019,13,296,238,9,32.9,124.4,76,3,0,21,10,31.9,Kolkata Knight Ride
SHUBMAN GILL,2020,14,440,373,13,33.8,118,70,3,0,44,9,35.9,Kolkata Knight Ride
RINKU SINGH,2018,4,29,31,4,7.2,93.5,16,0,0,4,0,48.4,Kolkata Knight Ride
RINKU SINGH,2019,3,37,34,2,18.5,108.8,30,0,0,1,2,35.3,Kolkata Knight Ride
RINKU SINGH,2020,1,11,11,1,11,100,11,0,0,1,0,27.3,Kolkata Knight Ride
NITISH RANA,2016,3,104,75,3,34.7,138.7,70,1,0,7,8,45.3,Kolkata Knight Ride
NITISH RANA,2017,12,333,264,11,30.3,126.1,62,3,0,24,17,38.3,Kolkata Knight Ride
NITISH RANA,2018,15,304,232,13,23.4,131,59,1,0,26,14,37.5,Kolkata Knight Ride
NITISH RANA,2019,11,344,235,10,34.4,146.4,85,3,0,27,21,40,Kolkata Knight Ride
NITISH RANA,2020,14,352,254,14,25.1,138.6,87,3,0,43,12,40.2,Kolkata Knight Ride
NITISH RANA,2021,4,184,113,4,46,162.8,74,2,0,23,8,36.3,Kolkata Knight Ride
EOIN MORGAN,2010,4,35,30,3,11.7,116.7,17,0,0,2,1,30,Kolkata Knight Ride
EOIN MORGAN,2011,9,137,117,9,15.2,117.1,66,1,0,17,3,47,Kolkata Knight Ride
EOIN MORGAN,2013,17,383,309,15,25.5,123.9,51,1,0,35,15,42.7,Kolkata Knight Ride
EOIN MORGAN,2014,15,401,301,14,28.6,133.2,77,2,0,38,16,34.9,Kolkata Knight Ride
EOIN MORGAN,2015,20,440,374,17,25.9,117.6,63,2,0,30,17,37.4,Kolkata Knight Ride
EOIN MORGAN,2016,16,423,351,14,30.2,120.5,59,4,0,31,16,36.5,Kolkata Knight Ride
EOIN MORGAN,2017,30,607,518,28,21.7,117.2,80,3,0,50,24,41.7,Kolkata Knight Ride
EOIN MORGAN,2018,17,345,245,16,21.6,140.8,90,2,0,18,22,31.4,Kolkata Knight Ride
EOIN MORGAN,2019,9,341,202,8,42.6,168.8,83,3,0,18,23,22.3,Kolkata Knight Ride
EOIN MORGAN,2020,14,418,302,10,41.8,138.4,68,1,0,32,24,39.4,Kolkata Knight Ride
RAHUL TRIPATHI,2017,14,391,267,14,27.9,146.4,93,2,0,43,17,39.3,Kolkata Knight Ride
